4096	80000024	8d61b1a865b9eeef
8192	8000001c	3591cb79b20ddcd5
12288	80000020	d190ab0f616d7821
16384	80000024	477d2129a940350d
20480	8000001c	8980e6fe98e6f0c8
24576	80000020	1be268657f8b64d4
28672	80000024	e0dcba7956e10f6b
32768	8000001c	47fee2d8885171c5
36864	80000020	593529fd6687e3a7
40960	80000024	530d224fcc93fec0
45056	8000001c	dd5a268e4dc99549
49152	80000020	347c1c0f0ebbc566
53248	80000024	41bbb2f53bc3bccc
57344	8000001c	9e7c853054ac2b41
61440	80000020	4a759154a3331845
65536	80000024	42946a09faf97d7f
69632	8000001c	544f2b489a4d940a
73728	80000020	cc507c7d5ef3b028
77824	80000024	e167f6de85fb1903
81920	8000001c	8e39644560649033
86016	80000020	7bb944d37b15ccdf
90112	80000024	a34f8cc9f246a991
94208	8000001c	40b48039702a8973
98304	80000020	c355c0d804231d34
102400	80000024	047d451194f27fab
106496	8000001c	e1b7eb1c1c18acd2
110592	80000020	86d4f5568fad46a9
114688	80000024	f7f45f124a2a7e34
118784	8000001c	08df52cd3b1a5114
122880	80000020	a0f9d9abce0516fb
126976	80000024	dd856495ffb9969a
131072	8000001c	b16cc86599105c1c
135168	80000020	279cc5eef7498fd0
139264	80000024	4ccd0e745ae65526
143360	8000001c	2d805718179d46b0
147456	80000020	d2ad6fb18339c5e5
151552	80000024	b2f2a6402be1cc3a
155648	8000001c	ac78c062cd624262
159744	80000020	116a5c6ed6570b91
163840	80000024	48b5a4c9e082d279
167936	8000001c	dea322575f96ccf4
172032	80000020	169b94365ebb3748
176128	80000024	177c88b006a4b171
180224	8000001c	34a12d9bd19f4f11
184320	8003e1f0	4e46a531d003f3d1
188416	80040cc8	e5fa467c707830e5
192512	80044580	d194613222b00359
196608	80040cec	bfac308b3e95da4e
200704	8000f9d0	6dfab444987ba616
204800	8000f9d4	17f8e6f9b5330396
208896	8000f9ec	88ebb804fff859f9
212992	800497d4	670ac20d649f10e8
217088	8000f9f8	cf331504b4fb6965
221184	80049740	4f1800d38066805a
225280	8004972c	dd4a1dbb97a40b29
229376	8004fd90	4c78875f64a5d796
233472	8000fa54	8b06fd4b6525dcbf
237568	80049738	f5ca970122b7439c
241664	8004971c	d618db10551b7858
245760	80054378	555c3632238ac478
249856	80049768	a7e773e74997bbba
253952	8000f9d8	ad716ab99ffc9941
258048	8000f9d8	67de7600a3ff41ac
262144	8004cabc	dab14d3e5532275b
266240	8000fa50	091b2b14e5a8a51e
270336	800497fc	ace467f7a831299c
274432	80054320	ef32a366ba9ca39e
278528	80049748	5b0a9b878f7eae4f
282624	80049800	930208bf2d8b5f8c
286720	8000f9dc	5710ea1c8088f995
290816	8000f9f8	37819b05c12126f0
294912	800497d4	f2d1e0561fc8650d
299008	80049730	f95c19a11e3e6a54
303104	80049724	3e2a0eab09e19bab
307200	8000f9e8	f8c3e55290565163
311296	8004981c	d6e1008d4a3d2925
315392	8000f9ec	03ed285bb4edaefc
319488	80049724	0bd194a72ed520ba
323584	80049720	7d4cf27b0a68fc94
327680	80049724	8698f42a31cdcee0
331776	80049730	77f9851cf7dc0318
335872	8000f9f4	fa6773948d94197c
