id	name
0	sfx_None
1	sfx_pistol
2	sfx_shotgn
3	sfx_sgcock
4	sfx_dshtgn
5	sfx_dbopn
6	sfx_dbcls
7	sfx_dbload
8	sfx_plasma
9	sfx_bfg
10	sfx_sawup
11	sfx_sawidl
12	sfx_sawful
13	sfx_sawhit
14	sfx_rlaunc
15	sfx_rxplod
16	sfx_firsht
17	sfx_firxpl
18	sfx_pstart
19	sfx_pstop
20	sfx_doropn
21	sfx_dorcls
22	sfx_stnmov
23	sfx_swtchn
24	sfx_swtchx
25	sfx_plpain
26	sfx_dmpain
27	sfx_popain
28	sfx_vipain
29	sfx_mnpain
30	sfx_pepain
31	sfx_slop
32	sfx_itemup
33	sfx_wpnup
34	sfx_oof
35	sfx_telept
36	sfx_posit1
37	sfx_posit2
38	sfx_posit3
39	sfx_bgsit1
40	sfx_bgsit2
41	sfx_sgtsit
42	sfx_cacsit
43	sfx_brssit
44	sfx_cybsit
45	sfx_spisit
46	sfx_bspsit
47	sfx_kntsit
48	sfx_vilsit
49	sfx_mansit
50	sfx_pesit
51	sfx_sklatk
52	sfx_sgtatk
53	sfx_skepch
54	sfx_vilatk
55	sfx_claw
56	sfx_skeswg
57	sfx_pldeth
58	sfx_pdiehi
59	sfx_podth1
60	sfx_podth2
61	sfx_podth3
62	sfx_bgdth1
63	sfx_bgdth2
64	sfx_sgtdth
65	sfx_cacdth
66	sfx_skldth
67	sfx_brsdth
68	sfx_cybdth
69	sfx_spidth
70	sfx_bspdth
71	sfx_vildth
72	sfx_kntdth
73	sfx_pedth
74	sfx_skedth
75	sfx_posact
76	sfx_bgact
77	sfx_dmact
78	sfx_bspact
79	sfx_bspwlk
80	sfx_vilact
81	sfx_noway
82	sfx_barexp
83	sfx_punch
84	sfx_hoof
85	sfx_metal
86	sfx_chgun
87	sfx_tink
88	sfx_bdopn
89	sfx_bdcls
90	sfx_itmbk
91	sfx_flame
92	sfx_flamst
93	sfx_getpow
94	sfx_bospit
95	sfx_boscub
96	sfx_bossit
97	sfx_bospn
98	sfx_bosdth
99	sfx_manatk
100	sfx_mandth
101	sfx_sssit
102	sfx_ssdth
103	sfx_keenpn
104	sfx_keendt
105	sfx_skeact
106	sfx_skesit
107	sfx_skeatk
108	sfx_radio
