id	name
0	NULL
1	A_BFGSpray
2	A_BFGsound
3	A_BabyMetal
4	A_BossDeath
5	A_BrainAwake
6	A_BrainDie
7	A_BrainExplode
8	A_BrainPain
9	A_BrainScream
10	A_BrainSpit
11	A_BruisAttack
12	A_BspiAttack
13	A_CPosAttack
14	A_CPosRefire
15	A_Chase
16	A_CheckReload
17	A_CloseShotgun2
18	A_CyberAttack
19	A_Explode
20	A_FaceTarget
21	A_Fall
22	A_FatAttack1
23	A_FatAttack2
24	A_FatAttack3
25	A_FatRaise
26	A_Fire
27	A_FireBFG
28	A_FireCGun
29	A_FireCrackle
30	A_FireMissile
31	A_FirePistol
32	A_FirePlasma
33	A_FireShotgun
34	A_FireShotgun2
35	A_GunFlash
36	A_HeadAttack
37	A_Hoof
38	A_KeenDie
39	A_Light0
40	A_Light1
41	A_Light2
42	A_LoadShotgun2
43	A_Look
44	A_Lower
45	A_Metal
46	A_OpenShotgun2
47	A_Pain
48	A_PainAttack
49	A_PainDie
50	A_PlayerScream
51	A_PosAttack
52	A_Punch
53	A_Raise
54	A_ReFire
55	A_SPosAttack
56	A_SargAttack
57	A_Saw
58	A_Scream
59	A_SkelFist
60	A_SkelMissile
61	A_SkelWhoosh
62	A_SkullAttack
63	A_SpawnFly
64	A_SpawnSound
65	A_SpidRefire
66	A_StartFire
67	A_Tracer
68	A_TroopAttack
69	A_VileAttack
70	A_VileChase
71	A_VileStart
72	A_VileTarget
73	A_WeaponReady
74	A_XScream
